Fecha,Tiempo en la página,Muestreo de carga de página,Promedio de tiempo en la página,Tiempo de búsqueda de dominio (ms),Promedio de páginas vistas por búsqueda,Tiempo de descarga de la página (ms),Tiempo medio de descarga de la página (s),Tiempo de redirección (ms),Tiempo medio de redirección (s),Tiempo de conexión de servidor (ms),Tiempo medio de conexión de servidor (es),Tiempo medio de respuesta de servidor (es),Tiempo medio de respuesta de servidor (es),Muestra de métricas de velocidad,Tiempo de interacción de documento (milésimas de segundo),Tiempo medio de interacción de documento (segundos),Tiempo de carga de contenido de documento (milésimas de segundo),Muestra de métricas de latencia de DOM
20180329,134665,40,57.03727234222787,389,null,11963,0.299075,3578,0.08945,6356,0.1589,1.1998250000000001,1.1998250000000001,40,167450,4.18625,167452,40
20180330,183631,3,55.51118500604595,85,null,337,0.11233333333333333,40,0.013333333333333334,150,0.05,1.5096666666666667,1.5096666666666667,3,11943,3.981,11944,3
20180331,236238,33,66.48972699127498,79,null,1986,0.06018181818181818,10510,0.3184848484848485,165,0.005,1.8267878787878788,1.8267878787878788,33,95417,2.8914242424242427,95440,33
20180401,183301,13,57.04979769685652,50,null,1097,0.08438461538461539,2471,0.19007692307692306,196,0.015076923076923076,1.6418461538461537,1.6418461538461537,13,41851,3.219307692307692,41854,13
20180402,393755,122,72.55481850009213,308,null,23251,0.19058196721311474,13378,0.10965573770491804,2818,0.023098360655737702,1.0451065573770493,1.0451065573770493,122,218130,1.787950819672131,218162,122
20180403,298779,22,70.58327427356485,0,null,16290,0.7404545454545455,4340,0.1972727272727273,77,0.0035,1.1572272727272728,1.1572272727272728,22,65015,2.9552272727272726,65019,22
20180404,303176,42,73.89129904947599,801,null,16578,0.39471428571428574,10327,0.24588095238095237,3711,0.08835714285714286,1.4532619047619049,1.4532619047619049,42,115520,2.7504761904761903,115526,42
20180405,308743,53,67.81089391609927,158,null,22095,0.4168867924528302,10289,0.1941320754716981,1148,0.02166037735849057,1.1175094339622642,1.1175094339622642,53,123398,2.328264150943396,123412,53
20180406,259821,48,72.21261812117844,2,null,8898,0.185375,9205,0.19177083333333333,3056,0.06366666666666666,0.9654791666666667,0.9654791666666667,48,94536,1.9695,94544,48
20180407,247793,48,68.2437345083999,2349,null,14902,0.31045833333333334,7224,0.1505,2475,0.0515625,1.7160833333333332,1.7160833333333332,48,173160,3.6075,173174,48
20180408,241997,53,53.43276661514683,331,null,9558,0.18033962264150943,11928,0.22505660377358488,1923,0.036283018867924524,1.72188679245283,1.72188679245283,53,181173,3.4183584905660376,181184,53
20180409,382516,15,72.55614567526555,0,null,904,0.06026666666666666,2649,0.1766,249,0.0166,1.1056,1.1056,15,29383,1.9588666666666665,29387,15
20180410,395539,94,77.20847159867266,382,null,17034,0.18121276595744681,21181,0.22532978723404257,2296,0.02442553191489362,1.1039787234042553,1.1039787234042553,94,307328,3.2694468085106383,307347,94
20180411,326964,49,70.74080484638685,170,null,10274,0.20967346938775508,4187,0.08544897959183673,5369,0.10957142857142857,1.6759183673469389,1.6759183673469389,49,232248,4.739755102040816,232264,49
20180412,366653,68,77.23888771855908,374,null,22050,0.32426470588235295,7025,0.10330882352941177,3483,0.051220588235294115,1.1758676470588234,1.1758676470588234,68,224175,3.2966911764705884,224191,68
20180413,326938,48,79.45030376670717,415,null,4407,0.0918125,8034,0.167375,1183,0.024645833333333332,1.4376041666666668,1.4376041666666668,48,165380,3.4454166666666666,165385,48
20180414,250480,22,65.22916666666667,200,null,1312,0.05963636363636363,3878,0.17627272727272728,686,0.031181818181818182,1.3898181818181818,1.3898181818181818,22,95488,4.340363636363636,95496,22
20180415,247578,33,66.39259855189059,636,null,3146,0.09533333333333333,3297,0.0999090909090909,2322,0.07036363636363636,1.3758484848484847,1.3758484848484847,33,115470,3.499090909090909,115475,33
20180416,375551,52,80.28024796921761,350,null,7395,0.14221153846153844,9082,0.17465384615384616,910,0.0175,1.310423076923077,1.310423076923077,52,175722,3.379269230769231,175740,52
20180417,367957,73,80.445343244425,566,null,11677,0.15995890410958905,12430,0.17027397260273971,1508,0.02065753424657534,1.1262328767123289,1.1262328767123289,73,243523,3.335931506849315,245531,73
20180418,354605,73,74.5438301450494,287,null,23405,0.3206164383561644,13317,0.18242465753424655,2185,0.029931506849315066,1.1964520547945205,1.1964520547945205,73,213537,2.925164383561644,213731,73
20180419,316239,99,70.63636363636364,291,null,71884,0.72610101010101,35381,0.3573838383838384,3788,0.03826262626262626,1.1643939393939395,1.1643939393939395,99,325382,3.2866868686868687,326218,99
20180420,344206,34,75.43414420337497,179,null,6581,0.19355882352941176,6519,0.19173529411764706,1045,0.03073529411764706,1.0873529411764704,1.0873529411764704,34,101267,2.9784411764705885,101271,34
20180421,257516,60,62.21696061850689,920,null,5182,0.08636666666666666,9888,0.1648,4942,0.08236666666666666,1.7379333333333333,1.7379333333333333,60,224594,3.743233333333333,224601,60
20180422,212374,45,56.754142169962584,167,null,4103,0.09117777777777777,8970,0.19933333333333333,1015,0.022555555555555558,1.137911111111111,1.137911111111111,45,194016,4.311466666666666,194028,45
20180423,376506,35,78.70108695652173,1144,null,6411,0.18317142857142857,9845,0.28128571428571425,480,0.013714285714285714,1.2784285714285712,1.2784285714285712,35,200280,5.722285714285714,200585,35
20180424,404961,73,76.20643582988333,3751,null,38875,0.5325342465753424,21744,0.29786301369863016,10355,0.14184931506849316,1.3934246575342466,1.3934246575342466,73,374378,5.128465753424657,374386,73
20180425,352658,11,81.9944199023483,3,null,792,0.072,3150,0.2863636363636364,511,0.04645454545454546,0.5630909090909091,0.5630909090909091,11,32346,2.9405454545454544,32346,11
20180426,349773,44,79.711257976299,654,null,5447,0.12379545454545454,2888,0.06563636363636365,1948,0.044272727272727276,1.2925227272727273,1.2925227272727273,44,252272,5.733454545454545,252275,44
20180427,338023,31,76.40664556962025,142,null,34613,1.116548387096774,7813,0.2520322580645161,513,0.01654838709677419,1.0947096774193548,1.0947096774193548,31,165018,5.323161290322581,165551,31
20180428,289886,30,74.92530369604549,167,null,27056,0.9018666666666667,19292,0.6430666666666667,3124,0.10413333333333334,1.4971333333333334,1.4971333333333334,30,245541,8.1847,246496,30
20180429,289334,44,70.12457586039748,175,null,123232,2.8007272727272725,2246,0.05104545454545455,2470,0.05613636363636363,1.54875,1.54875,44,697356,15.849,697534,44
20180430,488979,76,92.52204351939451,666,null,170702,2.2460789473684213,23249,0.3059078947368421,7949,0.10459210526315789,1.3677894736842107,1.3677894736842107,76,643276,8.464157894736841,643299,76
20180501,272555,33,75.77286627745343,500,null,51527,1.5614242424242426,3451,0.10457575757575757,15483,0.4691818181818182,1.3142727272727273,1.3142727272727273,33,209572,6.350666666666667,209577,33
20180502,439050,51,84.90620769677045,419,null,7587,0.14876470588235294,5683,0.11143137254901961,4783,0.09378431372549019,1.0793529411764704,1.0793529411764704,51,208050,4.079411764705882,208185,51
20180503,405706,50,72.33125334284186,1382,null,10278,0.20556,6462,0.12924000000000002,3421,0.06842000000000001,1.3349000000000002,1.3349000000000002,50,183718,3.67436,183802,50
20180504,396975,101,73.63661658319421,290,null,10750,0.10643564356435643,19964,0.19766336633663364,1494,0.014792079207920793,1.1889900990099012,1.1889900990099012,101,315656,3.1253069306930694,315682,101
20180505,347089,71,69.72458818802733,0,null,16225,0.22852112676056338,13326,0.18769014084507044,2804,0.039492957746478874,1.3133661971830985,1.3133661971830985,71,265612,3.741014084507042,265634,71
20180506,312467,28,66.92375240950953,227,null,8769,0.3131785714285714,5190,0.18535714285714286,2151,0.07682142857142857,1.3233214285714288,1.3233214285714288,28,138506,4.946642857142857,138510,28
