Fecha,Red de distribución de anuncios,Tipo de concordancia de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS)
20180702,Google Search,Exact match,67,0,7504,112000,357.3333333333333,0.31343283582089554,0,0,0,0,0
20180702,Google Search,Broad match,13,0,5042,387846.1538461539,387.84615384615387,1,0,0,0,0,0
20180703,Google Search,Broad match,5,0,2395,479000,399.1666666666667,1.2,0,0,0,0,0
20180703,Google Search,Phrase match,31,0,10597,341838.7096774194,504.61904761904765,0.6774193548387096,0,0,0,0,0
20180703,Google Search,Exact match,46,0,6875,149456.52173913043,625,0.2391304347826087,0,0,0,0,0
20180704,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180704,Google Search,Phrase match,32,0,8322,260062.5,462.3333333333333,0.5625,0,0,0,0,0
20180704,Google Search,Broad match,12,0,2542,211833.33333333334,282.4444444444444,0.75,0,0,0,0,0
20180704,Google Search,Exact match,69,0,14615,211811.59420289853,608.9583333333334,0.34782608695652173,0,0,0,0,0
20180705,Google Search,Phrase match,59,0,14722,249525.42372881356,490.7333333333333,0.5084745762711864,0,0,0,0,0
20180705,Google Search,Broad match,13,0,2221,170846.15384615384,201.9090909090909,0.8461538461538461,0,0,0,0,0
20180705,Google Search,Exact match,91,0,11114,122131.86813186813,483.2173913043478,0.25274725274725274,0,0,0,0,0
20180706,Google Search,Phrase match,43,0,13004,302418.60465116287,500.15384615384613,0.6046511627906976,0,0,0,0,0
20180706,Google Search,Exact match,72,0,12452,172944.44444444447,655.3684210526316,0.2638888888888889,0,0,0,0,0
20180706,Google Search,Broad match,10,0,2266,226600,188.83333333333334,1.2,0,0,0,0,0
20180707,Google Search,Phrase match,41,0,11176,272585.3658536585,465.6666666666667,0.5853658536585366,0,0,0,0,0
20180707,Google Search,Broad match,13,0,4188,322153.8461538462,322.15384615384613,1,0,0,0,0,0
20180707,Google Search,Exact match,83,0,15120,182168.67469879516,604.8,0.30120481927710846,0,0,0,0,0
