Fecha,Dominio del emplazamiento,Tipo de emplazamiento,URL del emplazamiento,Google Ads: grupo de anuncios,Google Ads: espacio publicitario,Anuncios de vídeo TrueView,Usuarios,Sesiones,Duración media de la sesión,Páginas/Sesión,Número de páginas vistas,Porcentaje de rebote
2020-01-20,mobileapp::10002-ca-app-pub-5522781922210310,Automatic placements,mobileapp::10002-ca-app-pub-5522781922210310,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-14,mobileapp::2-com.noxgroup.app.security,Automatic placements,mobileapp::2-com.noxgroup.app.security,Italcombos Segmentacion Display,Google Display Network,No,5,5,1.6,1.6,8,0.6
2020-01-13,mobileapp::2-com.dna.solitaireapp,Automatic placements,mobileapp::2-com.dna.solitaireapp,Italcombos Segmentacion Display,Google Display Network,No,3,8,0.0,1.0,8,1.0
2020-01-13,ciudadregion.com,Automatic placements,www.ciudadregion.com/regiones/valle-del-cauca/cartago,Italcombos - awareness Html -Impresiones,Google Display Network,No,3,3,367.0,6.333333333333332,19,0.0
2020-01-16,mobileapp::2-laclaveganadora.translator,Automatic placements,mobileapp::2-laclaveganadora.translator,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,colombianoindignado.com,Automatic placements,colombianoindignado.com/alex-char-alberto-carrasquilla-y-otros-politicos-aparecen-en-nuevos-audios-del-nene-hernandez,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.fakegps.mock,Automatic placements,mobileapp::2-com.fakegps.mock,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::1-1037773731,Automatic placements,mobileapp::1-1037773731,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-23,mbappgiwwg33nfzxxk5dgnf2doltnpf2gc3dlnfxgoylom5swyylgojswk888.com,Automatic placements,mbappgiwwg33nfzxxk5dgnf2doltnpf2gc3dlnfxgoylom5swyylgojswk888.com,Dia Rojo 2019 - Comercial Emplazamientos,Google Display Network,Yes,3,3,0.0,1.0,3,1.0
2020-01-18,mobileapp::2-com.appstar.callrecorder,Automatic placements,mobileapp::2-com.appstar.callrecorder,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.dupuz.checkers.checkmate,Automatic placements,mobileapp::2-com.dupuz.checkers.checkmate,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::1-1288430163,Automatic placements,mobileapp::1-1288430163,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-11,mobileapp::2-com.dicedom.mergepuzzle,Automatic placements,mobileapp::2-com.dicedom.mergepuzzle,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-21,mobileapp::2-net.wordbit.enes,Automatic placements,mobileapp::2-net.wordbit.enes,Anuncios dinámicos Display,Google Display Network,No,3,3,0.0,1.6666666666666667,5,0.0
2020-01-10,costanews.co,Automatic placements,costanews.co/2020/03/08/se-conocen-los-detalles-ambientales-amigables-que-tendra-la-ventana-de-campeones,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-22,mobileapp::2-com.one1line.onetouch.onestroke.dotgame,Automatic placements,mobileapp::2-com.one1line.onetouch.onestroke.dotgame,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-12,mobileapp::2-wifi.control.samsung,Automatic placements,mobileapp::2-wifi.control.samsung,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.mind.quiz.brain.out,Automatic placements,mobileapp::2-com.mind.quiz.brain.out,Italcombos Segmentacion Display,Google Display Network,No,3,5,0.0,1.0,5,1.0
2020-01-19,mobileapp::2-com.teaminformatico.coronilla,Automatic placements,mobileapp::2-com.teaminformatico.coronilla,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-22,mobileapp::2-com.gamesforgirlsfree.highschoolcouple,Automatic placements,mobileapp::2-com.gamesforgirlsfree.highschoolcouple,Italcombos Segmentacion Display,Google Display Network,No,3,3,194.0,1.6666666666666667,5,0.0
2020-01-01,mobileapp::2-jp.ne.ibis.ibispaintx.app,Automatic placements,mobileapp::2-jp.ne.ibis.ibispaintx.app,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-18,mobileapp::2-bubble.game.shooter.bird.pop,Automatic placements,mobileapp::2-bubble.game.shooter.bird.pop,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-laclaveganadora.translator,Automatic placements,mobileapp::2-laclaveganadora.translator,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-12,mobileapp::2-com.rubycell.pianisthd,Automatic placements,mobileapp::2-com.rubycell.pianisthd,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-14,mobileapp::2-com.mobirix.shuriken,Automatic placements,mobileapp::2-com.mobirix.shuriken,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
